delta,amp_lo,amp_hi,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,mean_dist_to_thld,median_dist_to_thld,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cdf,F0_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,eps_atom_loss,eps_loss,F1_loss,F0_loss,F1_cond_loss,F0_cond_loss,f_kept_loss,F_loss_cdf,P_erase_error_loss,P_erase_correct_loss
0.38465935,-0.18465935,0.58465935,21996,7679,14317,0.650891071103837,727,13590,434,13440,150,293,7542,13,120,4,0.9994699178372648,0.09774436090225563,0.9826800364630811,0.9838520640708426,567,21429,443,13874,0.781305114638448,0.6474403845256428,0.20569103740308703,0.2090608333333321,0.0686308528016546,0.9996806301233931,0.6494999241867345,0.8738679762249634,0.0003193698766069027,0.9382616751409991,1.0000000000001448,0.9994315252405256,0.9382967718203739,0.3381571855525777,0.660017322851841,0.06887558005829986,0.6495919694947099,0.8732889218580142,0.0003193698766069027,0.9378863910718751,1.0000000000001448,0.9994313759133705,0.9379217103660192,0.3377479381609387,0.6601828617375921
0.42312529,-0.22312528999999998,0.6231252899999999,21996,7597,14399,0.6546190216402983,795,13604,500,13451,153,295,7476,2,117,2,0.9997325488098422,0.01680672268907563,0.984335922074503,0.984335922074503,567,21429,448,13951,0.7901234567901234,0.6510336459937468,0.20678692912702248,0.2091299999999987,0.0755948840984019,0.9999841763828181,0.6523085710423483,0.8693461760303518,1.5823617181928263e-05,0.9404385167021216,1.000000000002603,0.9999716066173727,0.9404402078541069,0.36626744972296843,0.6619712614931605,0.07586266948367715,0.6524092888316,0.8687543381316393,1.5823617181928263e-05,0.9400706036258262,1.000000000002603,0.999971598390114,0.9400723057171628,0.36583063839957486,0.6621421145421158
0.46159122,-0.26159122,0.66159122,21996,7507,14489,0.6587106746681215,877,13612,581,13453,159,296,7395,0,111,1,0.9998647917793402,0.0,0.9852138004529106,0.9850805914479819,567,21429,455,14034,0.8024691358024691,0.6549069018619628,0.2082550358317802,0.2091299999999987,0.08258707098378745,0.9999995398267272,0.6549480143340176,0.8647135244994746,4.6017327285021227e-07,0.9425565055277233,1.0000000000646956,0.9999991679638184,0.9425565533227891,0.39342587960153386,0.6637824344422162,0.08287892872406978,0.6550577860691219,0.8641080308764536,4.6017327285021227e-07,0.9421962464282682,1.0000000000646956,0.9999991676990376,0.9421962945383879,0.39296804778769645,0.6639589157916685
0.50005716,-0.30005716,0.7000571600000001,21996,7436,14560,0.6619385342789598,944,13616,648,13453,163,296,7328,0,107,1,0.9998635557374812,0.0,0.985610543302851,0.9854760623991393,567,21429,459,14101,0.8095238095238095,0.6580335059965468,0.2096002787889192,0.2091299999999987,0.08960966926428834,0.9999999921902928,0.6575895929555757,0.8599695076152876,7.809707228246576e-09,0.9446162580838511,1.0000000017913202,0.9999999857703851,0.9446162588719405,0.41965252331600605,0.665627291312007,0.08992525536270458,0.6577082892545482,0.8593508208645,7.809707228246576e-09,0.9442640024111304,1.0000000017913202,0.9999999857654507,0.9442640032045072,0.41917984255111485,0.6658092269736168
0.53852309,-0.33852308999999997,0.7385230899999999,21996,7364,14632,0.6652118567012184,1009,13623,713,13453,170,296,7263,0,100,1,0.9998623348017621,0.0,0.986420423682781,0.9862846279196089,567,21429,466,14166,0.8218694885361552,0.6610667786644268,0.21114004032258046,0.2091299999999987,0.09666484923660537,0.9999999999229635,0.6602431486032581,0.855113708701926,7.703645700080015e-11,0.9466184372204298,0.9999995937146371,0.99999999985854,0.9466184372279811,0.44496756517446423,0.6675153244173357,0.09700377617064376,0.660370623713519,0.8544823116330851,7.703645700080015e-11,0.9462745126546187,0.9999995937146371,0.9999999998584869,0.9462745126622214,0.4444858357859909,0.6677025342074888
0.57698903,-0.37698903,0.77698903,21996,7302,14694,0.6680305510092744,1064,13630,768,13453,177,296,7208,0,93,1,0.9998612845054793,0.0,0.9872637633525062,0.9871268145713504,567,21429,473,14221,0.8342151675485009,0.6636333939987867,0.2125973087087698,0.2096833333333323,0.10375470460773559,0.9999999999995596,0.6629097413717836,0.850145801349619,4.403956431542984e-13,0.9485637533835324,0.999932268417085,0.9999999999991849,0.9485637533835743,0.46939134690126,0.6694469425045501,0.10411578285719855,0.6630455478983251,0.8495021952669286,4.403956431542984e-13,0.9482276604628702,0.999932268417085,0.9999999999991845,0.9482276604629124,0.46889729253968876,0.6696392391190692
0.61545496,-0.41545496,0.8154549600000001,21996,7222,14774,0.671667575922895,1143,13631,847,13453,178,296,7129,0,92,1,0.999859747545582,0.0,0.9872611464968153,0.9871226806978676,567,21429,474,14300,0.8359788359788359,0.6673199869335946,0.21467068893551713,0.2096833333333323,0.11088123232474348,0.9999999999999986,0.6655901270695846,0.8450655621924557,1.4559315644892324e-15,0.9504529573726297,1.0087589002016384,0.9999999999999973,0.9504529573726298,0.4929442825492318,0.6714222373113724,0.11126413194709522,0.665734140916453,0.8444094582186867,1.4559315644892324e-15,0.9501242028958155,1.0087589002016384,0.9999999999999973,0.9501242028958156,0.4924353160379438,0.6716197407538343
0.6539209,-0.4539209,0.8539209000000001,21996,7139,14857,0.6754409892707766,1223,13634,927,13453,181,296,7049,0,89,1,0.9998581560283688,0.0,0.987533267964701,0.9873931923238549,567,21429,477,14380,0.8412698412698413,0.6710532456017546,0.21703158825245095,0.2096833333333323,0.11804634203367523,1.0,0.6682850239882068,0.8398728631321972,2.7789402211078194e-18,0.9522868413164014,,1.0,,0.5156468778679999,0.6734412586937008,0.11845200309312495,0.6684375987265604,0.8392034133133164,2.7789402211078194e-18,0.9519656516240353,,1.0,,0.5151284466855668,0.6736443063943943
0.69238683,-0.49238683,0.89238683,21996,7072,14924,0.6784869976359338,1285,13639,989,13453,186,296,6987,0,84,1,0.9998568975386377,0.0,0.9881221719457014,0.9879807692307693,567,21429,482,14442,0.8500881834215167,0.6739465210695786,0.2190934633252924,0.2096833333333323,0.12525183618498958,1.0,0.6709951100544835,0.8345676843291473,3.0585054268785123e-21,0.9540662316904727,,1.0,,0.5375196508418785,0.6755040143658723,0.12567977958229534,0.6711560654884674,0.833885437990555,3.0585054268785123e-21,0.953752891122852,,1.0,,0.5369968458878523,0.6757124003719738
0.73085276,-0.5308527599999999,0.9308527600000001,21996,7029,14967,0.6804418985270049,1328,13639,1032,13453,186,296,6944,0,84,1,0.9998560115190784,0.0,0.9880495091762698,0.9879072414283682,567,21429,482,14485,0.8500881834215167,0.6759531476037146,0.22051151700407545,0.2096833333333323,0.13249941820643152,1.0,0.6737210259511642,0.829150107110832,1.9390833785452863e-24,0.9557919896682416,,1.0,,0.5585831441386382,0.6776104727061796,0.13294912719882743,0.673890167726673,0.8284556297142379,1.9390833785452863e-24,0.9554867605839028,,1.0,,0.5580607039206594,0.6778239847841088
